Year,Value,Trend,
1992,7.97873,0.0422029,
1993,6.94697,,
1994,8.73194,,
1995,7.52626,,
1996,8.65134,,
1997,8.1815,,
1998,8.80232,,
1999,9.28743,,
2000,8.76098,,
2001,9.19173,,
2002,8.23564,,
2003,9.42057,,
2004,8.96454,,
2005,9.06119,,
2006,9.37435,,
2007,8.38218,,
2008,8.77163,,
2009,9.19541,,
2010,9.30742,,
2011,8.0328,,
2012,9.10282,,
2013,8.36087,,
2014,8.92268,,
2015,10.2366,,
2016,8.66865,,
2017,9.11508,,
2018,9.24081,,
2019,9.28584,,
