Time,TimeNum,LakeLevel,LakeAreaOri,NonCCover,LakeArea,LevelErr,Hypsometry_Pro,Hypsometry_goodonly,Hypsometry_good_bad,AreaInHypsometry,LevelSource:Dahiti,
1992001,0,,,,,,R_square,0.994696,0.9938,goodonly,
1992032,1,,,,,,Num,98,129,0.994696,
1992061,2,,8611.04,0.681434,,,Level_low,22.8725,22.8725,
1992092,3,,8492.49,0.536755,,,Level_high,32.0215,32.0215,
1992122,4,,8446.93,1.00172,,,Level_length,9.149,9.149,
1992153,5,,8423.34,0.954605,,,PercentLen(Comparelevelmin_max),0.000912055,0.000912055,
1992183,6,,8410.01,0.994531,,,,,,,
1992214,7,,8369.83,0.986594,,,,,,,
1992245,8,,8391.56,0.992573,,,,,,,
1992275,9,,8421.57,0.917327,8421.57,,,,,,
1992306,10,,,,,,,,,,
1992336,11,,,,,,,,,,
1993001,12,,,,,,,,,,
1993032,13,,,,,,,,,,
1993060,14,,,,,,,,,,
1993091,15,,8225.5,0.963561,8225.5,,,,,,
1993121,16,,8373.36,0.994801,8373.36,,,,,,
1993152,17,,8319.74,0.997992,8319.74,,,,,,
1993182,18,,8372.58,1.00186,8372.58,,,,,,
1993213,19,,8313.65,0.999179,8313.65,,,,,,
1993244,20,,,,,,,,,,
1993274,21,,8306.94,0.898071,8306.94,,,,,,
1993305,22,,,,,,,,,,
1993335,23,,,,,,,,,,
1994001,24,,,,,,,,,,
1994032,25,,,,,,,,,,
1994060,26,,,,,,,,,,
1994091,27,,,,,,,,,,
1994121,28,,8280.12,0.969301,8280.12,,,,,,
1994152,29,,8307,0.998808,8307,,,,,,
1994182,30,,8071.27,0.974465,8071.27,,,,,,
1994213,31,,8408.34,0.94332,8408.34,,,,,,
1994244,32,,8188.81,0.995746,8188.81,,,,,,
1994274,33,,8123.43,0.936142,8123.43,,,,,,
1994305,34,,,,,,,,,,
1994335,35,,,,,,,,,,
1995001,36,,,,,,,,,,
1995032,37,,,,,,,,,,
1995060,38,,,,,,,,,,
1995091,39,,8156.07,0.972356,8156.07,,,,,,
1995121,40,,8235.7,0.979166,8235.7,,,,,,
1995152,41,,8184.42,0.988348,8184.42,,,,,,
1995182,42,,8075.52,0.99761,8075.52,,,,,,
1995213,43,,7976.97,0.991935,7976.97,,,,,,
1995244,44,,7984.21,0.986974,7984.21,,,,,,
1995274,45,,7775.47,0.996123,7775.47,,,,,,
1995305,46,,,,,,,,,,
1995335,47,,,,,,,,,,
1996001,48,,,,,,,,,,
1996032,49,,,,,,,,,,
1996061,50,,,,,,,,,,
1996092,51,,7762.46,0.960214,7762.46,,,,,,
1996122,52,,8087.05,0.97473,8087.05,,,,,,
1996153,53,,,,,,,,,,
1996183,54,,7611.93,1.00112,7611.93,,,,,,
1996214,55,,7498.25,0.995695,7498.25,,,,,,
1996245,56,,7381.46,0.981925,7381.46,,,,,,
1996275,57,,7345.75,0.971037,7345.75,,,,,,
1996306,58,,,,,,,,,,
1996336,59,,,,,,,,,,
1997001,60,,,,,,,,,,
1997032,61,,,,,,,,,,
1997060,62,,7045.21,0.832116,7045.21,,,,,,
1997091,63,,7354.18,0.918111,7354.18,,,,,,
1997121,64,,7279.76,0.965659,7279.76,,,,,,
1997152,65,,7261.99,0.977564,7261.99,,,,,,
1997182,66,,7112.02,0.996729,7112.02,,,,,,
1997213,67,,7036.06,0.999206,7036.06,,,,,,
1997244,68,,6918.3,0.98543,6918.3,,,,,,
1997274,69,,6825.34,0.982329,6825.34,,,,,,
1997305,70,,,,,,,,,,
1997335,71,,,,,,,,,,
1998001,72,,,,,,,,,,
1998032,73,,,,,,,,,,
1998060,74,,,,,,,,,,
1998091,75,,,,,,,,,,
1998121,76,,7140.19,0.932334,7140.19,,,,,,
1998152,77,,6859.91,0.999182,6859.91,,,,,,
1998182,78,,6805.38,0.997676,6805.38,,,,,,
1998213,79,,6819.08,0.998705,6819.08,,,,,,
1998244,80,,6788.68,0.980406,6788.68,,,,,,
1998274,81,,6851.17,0.998254,6851.17,,,,,,
1998305,82,,,,,,,,,,
1998335,83,,,,,,,,,,
1999001,84,,,,,,,,,,
1999032,85,,,,,,,,,,
1999060,86,,6681.03,0.982837,6681.03,,,,,,
1999091,87,,6689.95,0.950395,6689.95,,,,,,
1999121,88,,6730.71,0.924761,6730.71,,,,,,
1999152,89,,6725.83,0.985369,6725.83,,,,,,
1999182,90,,6675.58,1.00171,6675.58,,,,,,
1999213,91,,6622.7,1.00224,6622.7,,,,,,
1999244,92,,6485.51,0.981988,6485.51,,,,,,
1999274,93,,6472.93,0.987927,6472.93,,,,,,
1999305,94,,,,,,,,,,
1999335,95,,,,,,,,,,
2000001,96,,,,,,,,,,
2000032,97,,,,,,,,,,
2000061,98,,6553.48,0.783064,6553.48,,,,,,
2000092,99,,,,,,,,,,
2000122,100,,6428.71,0.999602,6428.71,,,,,,
2000153,101,,6375.99,1.00026,6375.99,,,,,,
2000183,102,,6293.04,0.944847,6293.04,,,,,,
2000214,103,,6258.9,0.996976,6258.9,,,,,,
2000245,104,,6184.92,0.981093,6184.92,,,,,,
2000275,105,,6040.65,0.992209,6040.65,,,,,,
2000306,106,,,,,,,,,,
2000336,107,,,,,,,,,,
2001001,108,,,,,,,,,,
2001032,109,,,,,,,,,,
2001060,110,,6017.67,0.977803,6017.67,,,,,,
2001091,111,,6419.91,0.885812,6419.91,,,,,,
2001121,112,,5946.27,0.996149,5946.27,,,,,,
2001152,113,,5943.96,0.996433,5943.96,,,,,,
2001182,114,,5786.34,1.00178,5786.34,,,,,,
