"","Time","TimeNum","Area","Volume","Volumeerr","Volumeerrmax","Levelerr"
"8",1993121,1993.5,8373.36,35.2680542997431,4.26640620902713,NA,0.0109890189495514
"9",1993152,1993.58333333333,8319.74,34.8756753628114,4.25010890307864,NA,0.0109890189495514
"10",1993182,1993.66666666667,8372.58,35.2623519808169,4.26617000303633,NA,0.0109890189495514
"11",1993213,1993.75,8313.65,34.8310606892575,4.24825019176908,NA,0.0109890189495514
"12",1993244,1993.83333333333,NA,NA,NA,NA,NA
"13",1993274,1993.91666666667,8306.94,34.7818921419706,4.24620041577837,NA,0.0109890189495514
"14",1993305,1994,NA,NA,NA,NA,NA
"15",1993335,1994.08333333333,NA,NA,NA,NA,NA
"16",1994001,1994.16666666667,NA,NA,NA,NA,NA
"17",1994032,1994.25,NA,NA,NA,NA,NA
"18",1994060,1994.33333333333,NA,NA,NA,NA,NA
"19",1994091,1994.41666666667,NA,NA,NA,NA,NA
"20",1994121,1994.5,8280.12,34.5852398196472,4.23798810145963,NA,0.0109890189495514
"21",1994152,1994.58333333333,8307,34.7823318561594,4.24621875316865,NA,0.0109890189495514
"22",1994182,1994.66666666667,8071.27,33.0467474721671,4.17294805922596,NA,0.0109890189495514
"23",1994213,1994.75,8408.34,35.5236158588898,4.27697308122571,NA,0.0109890189495514
"24",1994244,1994.83333333333,8188.81,33.914196711221,4.20979353485795,NA,0.0109890189495514
"25",1994274,1994.91666666667,8123.43,33.4322106315331,4.18937690553551,NA,0.0109890189495514
"26",1994305,1995,NA,NA,NA,NA,NA
"27",1994335,1995.08333333333,NA,NA,NA,NA,NA
"28",1995001,1995.16666666667,NA,NA,NA,NA,NA
"29",1995032,1995.25,NA,NA,NA,NA,NA
"30",1995060,1995.33333333333,NA,NA,NA,NA,NA
"31",1995091,1995.41666666667,8156.07,33.6729956217006,4.19959383492462,NA,0.0109890189495514
"32",1995121,1995.5,8235.7,34.2590938468326,4.22431800565309,NA,0.0109890189495514
"33",1995152,1995.58333333333,8184.42,33.881873329433,4.20842869038054,NA,0.0109890189495514
"34",1995182,1995.66666666667,8075.52,33.078186779078,4.17429141696867,NA,0.0109890189495514
"35",1995213,1995.75,7976.97,32.3476754168481,4.14292111771064,NA,0.0109890189495514
"36",1995244,1995.83333333333,7984.21,32.4014503060054,4.14524158696296,NA,0.0109890189495514
"37",1995274,1995.91666666667,7775.47,30.8437860329703,4.07729015419091,NA,0.0109890189495514
"38",1995305,1996,NA,NA,NA,NA,NA
"39",1995335,1996.08333333333,NA,NA,NA,NA,NA
"40",1996001,1996.16666666667,NA,NA,NA,NA,NA
"41",1996032,1996.25,NA,NA,NA,NA,NA
"42",1996061,1996.33333333333,NA,NA,NA,NA,NA
"43",1996092,1996.41666666667,7762.46,30.7461842268738,4.07298094670526,NA,0.0109890189495514
"44",1996122,1996.5,8087.05,33.1634512101332,4.17793161738358,NA,0.0109890189495514
"45",1996153,1996.58333333333,NA,NA,NA,NA,NA
"46",1996183,1996.66666666667,7611.93,29.6121501690953,4.02245717407811,NA,0.0109890189495514
"47",1996214,1996.75,7498.25,28.7496142053694,3.983458176503,NA,0.0109890189495514
"48",1996245,1996.83333333333,7381.46,27.8575777183149,3.75873978516525,NA,0.0104765708833377
"49",1996275,1996.91666666667,7345.75,27.5835677293282,3.74666746420668,NA,0.0104765708833377
"50",1996306,1997,NA,NA,NA,NA,NA
"51",1996336,1997.08333333333,NA,NA,NA,NA,NA
"52",1997001,1997.16666666667,NA,NA,NA,NA,NA
"53",1997032,1997.25,NA,NA,NA,NA,NA
"54",1997060,1997.33333333333,7045.21,25.2518616124248,3.64187856371501,NA,0.0104765708833377
"55",1997091,1997.41666666667,7354.18,27.6483074989773,3.74952426771275,NA,0.0104765708833377
"56",1997121,1997.5,7279.76,27.0756765015055,3.72415824880366,NA,0.0104765708833377
