Year,Value,Trend,
1992,9.15423,0.03928,
1993,8.19415,,
1994,9.90286,,
1995,8.68476,,
1996,9.77922,,
1997,9.1243,,
1998,10.1602,,
1999,10.5267,,
2000,9.93702,,
2001,10.3033,,
2002,9.24852,,
2003,10.6068,,
2004,10.097,,
2005,10.2888,,
2006,10.5157,,
2007,9.66218,,
2008,9.84567,,
2009,10.2546,,
2010,10.3433,,
2011,9.09504,,
2012,10.2077,,
2013,9.72317,,
2014,9.92937,,
2015,11.1346,,
2016,9.68937,,
2017,10.3506,,
2018,10.3218,,
2019,10.5227,,
